祝福,星级,命途
燃烧男子的肖像,2,欢愉
砂时镜下的幼园,2,欢愉
被涂污的信天翁,2,欢愉
十二猴子与怒汉,2,欢愉
像弗莱明一样好,2,欢愉
鱼发现了火,2,欢愉
腐殖疮,2,繁育
裂解酶,2,繁育
兴奋腺,2,繁育
裸脑质,2,繁育
节间膜,2,繁育
催化剂,2,繁育
附加前庭系统,2,智识
植入外显记忆,2,智识
拟态触觉通路,2,智识
分析阈下知觉,2,智识
装载纹状皮层,2,智识
激发跳跃传导,2,智识
构筑聚塑,1,存护
构筑哨戒,1,存护
构筑弥合,1,存护
构筑补偿,1,存护
构筑坚定,1,存护
构筑回转,1,存护
构筑进发,1,存护
构筑专注,1,存护
体验痼疾的摧残,1,记忆
体验疏离的煎熬,1,记忆
体验丢失的记忆,1,记忆
体验决绝的痛恨,1,记忆
体验病痛的折磨,1,记忆
体验原初的苦衷,1,记忆
体验攀升的刺激,1,记忆
体验回应的兴奋,1,记忆
漠视主义,1,虚无
拟像崩解,1,虚无
盲目视界,1,虚无
悲剧讲座,1,虚无
自我呈现,1,虚无
情绪舍离,1,虚无
虚妄供品,1,虚无
日出之前,1,虚无
法雨,1,丰饶
甘露,1,丰饶
延寿,1,丰饶
愿印,1,丰饶
禳灾,1,丰饶
回生,1,丰饶
胜军,1,丰饶
灌顶,1,丰饶
彤弓素赠,1,巡猎
背生击死,1,巡猎
背孤击虚,1,巡猎
雷车动地,1,巡猎
电射牛斗,1,巡猎
天棓步危,1,巡猎
桑弧蓬矢,1,巡猎
乌号綦箭,1,巡猎
突裂奇点,1,毁灭
回光效应,1,毁灭
轨道红移,1,毁灭
类星喷流,1,毁灭
储备度规,1,毁灭
哨戒卫星,1,毁灭
偏振受体,1,毁灭
永坍缩体,1,毁灭
看那些愚者,1,欢愉
基本有害,1,欢愉
阴风阵阵,1,欢愉
灰暗的火,1,欢愉
回灯塔去,1,欢愉
奇爱医生,1,欢愉
铂金时代,1,欢愉
发条苹果,1,欢愉
骨刃,1,繁育
脊刺,1,繁育
槽针,1,繁育
结膜,1,繁育
鳞翅,1,繁育
复眼,1,繁育
孢夹,1,繁育
液囊,1,繁育
齿轮啮合的王座,1,智识
导线弯绕的指环,1,智识
能量变矩的权杖,1,智识
偏时引燃的炬火,1,智识
离子推进的宝剑,1,智识
钢铁熔铸的绶带,1,智识
线圈编织的罗绮,1,智识
管道交错的桂冠,1,智识
城市复原师,3,存护*8记忆*4
沉默猎手,3,记忆*7巡猎*5
自证学社,3,虚无*8智识*4
步离人,3,丰饶*8毁灭*4
熔火骑士,3,巡猎*8繁育*4
远航监护员,3,毁灭*7存护*5
谏语医师,3,欢愉*8丰饶*4
孕灾之子,3,繁育*7虚无*5
无用学者,3,智识*7欢愉*5
无神论者,2,存护*5虚无*3
生态管理员,2,存护*5丰饶*3
记忆医生,2,记忆*4丰饶*4
星体计算机,2,记忆*5智识*3
激雷乐队,2,虚无*5记忆*3
无我丑角,2,虚无*4欢愉*4
长生陌客,2,丰饶*5巡猎*3
视肉,2,丰饶*5繁育*3
天灾遏止机关,2,巡猎*5存护*3
赏金猎人,2,巡猎*4欢愉*4
窃忆者,2,毁灭*5记忆*3
废土客,2,毁灭*4虚无*4
烟花大师,2,欢愉*5毁灭*3
以太幽灵,2,欢愉*4繁育*4
孕灾蠢役,2,繁育*5存护*3
惑世蠢役,2,繁育*5智识*3
银心护卫队,2,智识*5巡猎*3
反有机杀手,2,智识*4毁灭*4
筑城史官,1,存护*3记忆*2
不沉巨舰,1,存护*3毁灭*2
筑梦师,1,存护*3欢愉*2
烛墨学者,1,记忆*3存护*2
传记作家,1,记忆*3欢愉*2
武装考古队,1,记忆*3智识*2
守夜人,1,虚无*3存护*2
血罪灵,1,虚无*3巡猎*2
庸众凡夫,1,虚无*3智识*2
造翼者,1,丰饶*3巡猎*2
慧骃,1,丰饶*3毁灭*2
共生体,1,丰饶*3繁育*2
边星快枪手,1,巡猎*3存护*2
失忆者,1,巡猎*3记忆*2
和平主义者,1,巡猎*3丰饶*2
焦土行者,1,毁灭*3虚无*2
纵火士,1,毁灭*3丰饶*2
火匠,1,毁灭*3智识*2
糖果骑士,1,欢愉*3虚无*2
漂流马戏团,1,欢愉*3丰饶*2
气球商,1,欢愉*3繁育*2
幻螟蠹役,1,繁育*3记忆*2
残照蠹役,1,繁育*3虚无*2
碎星蠹役,1,繁育*3毁灭*2
执笔人,1,智识*3巡猎*2
修补匠,1,智识*3欢愉*2
科尔奇人,1,智识*3繁育*2
